date,l1_category,l1_category_id,l2_category,l2_category_id,store_id,variant_id,variant_name,group_id,selling_price,mrp,in_stock,inventory,is_sponsored,image_url,brand_id,brand
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,391414,Classic Besan Laddu by Lal,749354,74,90,1,11,0,https://cdn.grofers.com/da/cms-assets/cms/product/50bbfa0e-d80b-4085-bb20-ca68a4b7fde2.png,,Lal
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,476267,Kaju Katli by Haldiram's,661690,211,250,1,17,0,https://cdn.grofers.com/da/cms-assets/cms/product/87c1f435-a696-4efe-aebd-7a9809ec2c68.png,,Haldiram's
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,529110,Dhoda Burfi by Om Sweets,661453,150,150,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/bff12f3f-ee47-4aac-8c8f-62522bdb28c6.png,,Om Sweets
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,190192,Kaju Katli by Amul,661445,499,525,1,8,0,https://cdn.grofers.com/da/cms-assets/cms/product/9209fbb7-5e7d-4e39-8946-f7d2ad6f5b8a.png,,Amul
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,427614,Milk Cake Amul,660297,119,125,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/45d0d6d5-699b-4d43-84f5-cd8ac3fc5ebd.png,,Amul
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,487671,Dharwad Peda by Lal,661647,136,140,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/1f6065e5-19fb-4ba1-a5de-492ce0ec09bf.png,,Lal
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,434469,Premium Mysore Pak by Lal,661529,140,140,1,2,0,https://cdn.grofers.com/da/cms-assets/cms/product/468be22a-1733-42f2-b73a-6245d55ac068.png,,Lal
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,427612,Kesar Peda by Amul,661511,119,125,1,7,0,https://cdn.grofers.com/da/cms-assets/cms/product/8fa63770-c105-4117-b5e7-4df6f08bff16.png,,Amul
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,374937,Dry Fruit Besan Laddu by Haldiram's,661459,206,350,1,9,0,https://cdn.grofers.com/da/cms-assets/cms/product/3606c435-52a7-4445-ad18-b137accc04da.png,,Haldiram's
2025-07-24,Sweet Tooth,9,Indian Sweets,943,29650,529329,Classic Soan Papdi by Lal,752500,63,80,1,9,0,https://cdn.grofers.com/da/cms-assets/cms/product/438a2c98-9602-4c7f-8d89-015fa9708833.png,,Lal
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,52639,Haldiram's Prabhuji Bhujia,1912592,254,300,1,23,0,https://cdn.grofers.com/da/cms-assets/cms/product/0d47a2db-67b3-4e58-a6ea-374205d1b4cb.png,,Haldiram's Prabhuji
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,572388,Bhikharam Chandmal Diet Chivda Namkeen,1258231,48,60,1,20,0,https://cdn.grofers.com/da/cms-assets/cms/product/fcd654ba-478e-4ebb-b5a3-7423c4072fd7.png,,Bhikharam Chandmal
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,572312,Bhikharam Chandmal Bhujia,1159064,117,130,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/f54024d8-b3c9-492e-9da3-d971a170336c.png,,Bhikharam Chandmal
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,572387,Bhikharam Chandmal Khatta Meetha Sweet & Sour Namkeen,1258230,93,120,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/82904184-aae5-4873-9e69-468d0d171631.png,,Bhikharam Chandmal
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,524535,Let's Try Namkeen Combo,744169,81,90,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/46ee6575-38de-49b6-98d4-53d9a158a564.png,,Let's Try
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,490550,Crax Aloo Bhujia Namkeen Snacks,2148114,50,50,1,4,0,https://cdn.grofers.com/da/cms-assets/cms/product/3d66d0b2-016b-4806-852e-46613d94f02a.png,,Crax
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,62131,Bikaji Tana Tan Aloo Bhujia,1911869,116,122,1,3,0,https://cdn.grofers.com/da/cms-assets/cms/product/ca7a6720-2193-402f-b3ad-e62e8371b6a1.png,,Bikaji
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,68171,Haldiram's Prabhuji Aloo Bhujia,1912996,116,120,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/7868f898-404a-4bbd-afb1-1bada1d2081d.png,,Haldiram's Prabhuji
2025-07-24,Munchies,1237,Bhujia & Mixtures,1178,41365,446888,Bikano Aloo Bhujia,536037,60,60,1,5,0,https://cdn.grofers.com/da/cms-assets/cms/product/7fa2abca-804f-436a-b8cd-c59c16e1e68a.png,,Bikano
